,Q,A,Unit
83,What are some common kernel functions used in SVM?,"Common kernel functions include the linear kernel, polynomial kernel, radial basis function (RBF) kernel, and sigmoid kernel.",2
84,How does SVM handle non-linear data?,"SVM handles non-linear data by mapping it to a higher-dimensional space using kernel functions, where it becomes linearly separable.",2
85,What is the significance of the margin in SVM?,The margin is the distance between the separating hyperplane and the closest data points from each class. Maximizing the margin helps improve the generalization ability of the model.,2
86,What is the role of the Lagrangian multipliers in SVM?,Lagrangian multipliers are used in the dual formulation of SVM to optimize the objective function and determine the support vectors.,2
87,What is Principal Component Analysis (PCA)?,PCA is a dimensionality reduction technique that extracts important information from high-dimensional data and arranges the new dimensions in order of importance.,2
88,What are the benefits of dimensionality reduction?,"Benefits include faster computations, data visualization, noise elimination, reduced risk of model overfitting, and reduced space requirements.",2
89,What are the two main approaches to dimensionality reduction?,The two main approaches are feature selection (selecting the best features or discarding irrelevant ones) and feature extraction (combining existing variables to form new features).,2
90,How does PCA determine the new dimensions?,PCA determines the new dimensions by retaining the direction of maximum variance and ensuring minimal information loss.,2
91,What is variance and why is it important in PCA?,Variance measures the spread of data and is important in PCA because it helps identify the directions with the most information.,2
92,What is covariance and how is it used in PCA?,Covariance measures how much each dimension varies from the mean with respect to each other. It is used to find relationships between dimensions and to compute the covariance matrix.,2
93,What is the covariance matrix?,"The covariance matrix represents the covariance between dimensions as a matrix, where the diagonal elements represent variances and the off-diagonal elements represent covariances.",2
94,What are principal components in PCA?,"Principal components are the directions in which the data shows the largest variation, derived from the covariance matrix.",2
95,What are eigenvectors and eigenvalues in PCA?,"Eigenvectors determine the directions of the new feature space, and eigenvalues determine their magnitude. They are derived from the covariance matrix.",2
96,What is the process of applying PCA to a dataset?,"The process involves computing the mean vector and covariance matrix, obtaining eigenvectors and eigenvalues, and projecting the data points into the new feature subspace.",2
