,Q,A,unit
53,What are the data types supported by JSON?,This tests your knowledge of JSON another popular file format that wraps with JavaScript. There are six basic JSON datatypes you can manipulate: strings numbers objects arrays booleans and null values.,1
54,Whare are Pros and Cons of BLEU Score?,"Due to its simplicity and being explainable and language-independent, the BLEU score has been widely used in NLP. However, this metric neither considers the meanings of the word nor understands the significance of the words in the text. For example, the propositions usually have the lowest level of importance. However, BLEU sees them as important as noun and verb keywords. To add to these downsides, BLEU doesn’t understand the variants of the words and can’t take the word order into account.
",1
55,What are the key advantages of SVM?,"SVM works well in high-dimensional spaces, is effective in cases of clear margin of separation, and is versatile due to its different kernel choices.",1
56,What is Kernel Trick in an SVM Algorithm?,Kernel Trick is a mathematical function which when applied on data points can find the region of classification between two different classes. Based on the choice of function be it linear or radial which purely depends upon the distribution of data one can build a classifier.,1
57,"Explain the concept of an ""exploration strategy"" in Reinforcement Learning.","In Reinforcement Learning, an exploration strategy is a plan or policy used by the agent to decide which actions to take in the environment. It determines how the agent explores the environment to gather information and learn. Common exploration strategies include epsilon-greedy, UCB, and Thompson sampling.",1
58,Which ensemble technique is used by Random forests?,Bagging is the technique used by Random Forests. Random forests are a collection of trees which work on sampled data from the original dataset with the final prediction being a voted average of all trees.,1
59,"What is the concept of an ""action space"" in Reinforcement Learning?","In Reinforcement Learning, the action space represents the set of all possible actions that an agent can take in a given environment. The size and nature of the action space have a significant impact on the complexity of the reinforcement learning problem. It can be discrete, continuous, or a combination of both.",1
60,Which algorithm can be used in value imputation in both categorical and continuous categories of data?,KNN is the only algorithm that can be used for imputation of both categorical and continuous variables.,1
61,What is the role of a reward function in Reinforcement Learning?,"A reward function in Reinforcement Learning is a crucial element that quantifies the immediate desirability of the agent's actions. It provides feedback to the agent, helping it to learn which actions are better in a given state. The ultimate goal of the agent is to maximize the cumulative reward over time.",1
62,How does Scikit-Learn facilitate model evaluation and validation?,"It provides tools for cross-validation, metrics for evaluating model performance (e.g., accuracy, precision, recall), and methods for hyperparameter tuning.",1
63,"What are AI-ML avatars, and how are they used in applications?","AI-ML avatars are AI-powered representations of individuals or entities used for tasks like customer service, virtual assistance, or personalized interactions.",1
64,Explain the process of merging and joining DataFrames in Pandas.,"Merging and joining involve combining multiple DataFrames based on common columns or indices, using functions like merge() or concat() in Pandas.",1
65,What is NER?,"NER stands for Named Entity Recognition which is the one of the semantic Analysis technique and it is a process of information retrieval that helps identify entities such as the name of a person, organization, place, time, emotion, etc.",1
66,What is the K Nearest Neighbor (KNN) algorithm?,"KNN is a simple supervised learning algorithm used for classification and regression, where the output is based on majority voting or averaging of its k-nearest neighbors.",1
67,What is Lemmatization?,This is a normalization technique that converts a word into a lemma form or the root word which is not the stem word. It is a process in which a word is reduced to its base form but not similar to stemming; it considers the context of the word and produces a valid word.,1
68,What is Reinforcement Learning?,"Reinforcement Learning is a type of machine learning where an agent learns to make decisions by interacting with an environment. The agent takes actions to maximize a cumulative reward over time. It's commonly used in situations where an agent learns from trial and error, like in game playing, robotics, and recommendation systems.",1
69,What are outliers?,A data point that is considerably distant from the other similar data points is known as an outlier. They may occur due to experimental errors or variability in measurement.,1
70,How is the performance of a Linear Classifier evaluated?,"Metrics like accuracy, precision, recall, F1-score, and confusion matrices are used to assess the performance of a Linear Classifier on classification tasks.",1
71,What is the difference between causality and correlation?,Causality applies to situations where one action say X causes an outcome say Y whereas Correlation is just relating one action (X) to another action(Y) but X does not necessarily cause Y.,1
72,What is a voting model?,A voting model is an ensemble model which combines several classifiers but to produce the final result in case of a classification-based model takes into account the classification of a certain data point of all the models and picks the most vouched/voted/generated option from all the given classes in the target column.,1
73,How does Regularization apply to Linear Regression models?,Regularization techniques like Lasso and Ridge regression introduce penalties on the coefficients to prevent overfitting and improve the model's generalization.,1
74,What is Subword Tokenization?,"In cases where a vocabulary may not cover all words (e.g., rare or out-of-vocabulary words), subword tokenization methods like Byte-Pair Encoding (BPE) or WordPiece are used to break words into smaller units or subword tokens.",1
75,How can you address the problem of credit assignment in Reinforcement Learning?,"Credit assignment in Reinforcement Learning refers to the challenge of attributing rewards or penalties to specific actions that an agent took in the past. To address this problem, techniques like the eligibility trace and temporal difference learning are used to apportion credit more effectively to past actions based on their influence on the outcome.",1
76,How does broadcasting work in NumPy?,"Broadcasting in NumPy allows operations between arrays of different shapes by automatically aligning dimensions, facilitating element-wise computations.",1
77,What are Kernels in SVM?,The function of the kernel is to take data as input and transform it into the required form. A few popular Kernels used in SVM are as follows: RBF Linear Sigmoid Polynomial Hyperbolic Laplace etc.,1
78,What is the difference between Model-Free and Model-Based Reinforcement Learning?,"Model-Free Reinforcement Learning directly learns a policy or value function from interactions with the environment, without building an explicit model of the environment. Model-Based Reinforcement Learning, on the other hand, involves constructing a model of the environment and using it for planning and decision-making.",1
79,What are the advantages of using actor-critic methods in Reinforcement Learning?,"Actor-critic methods combine the benefits of both value-based and policy-based approaches. They offer improved sample efficiency, stability, and the ability to handle continuous action spaces. The critic provides value estimates for the policy, guiding the actor's policy updates.",1
80,What is overfitting in Machine Learning (ML)?,"Overfitting occurs when a model learns too much from the training data, capturing noise and failing to generalize well to new data.",1
81,What is the principle behind Ensemble Methods?,"Ensemble Methods leverage the wisdom of the crowd by aggregating predictions from multiple models, reducing bias and variance, and improving predictive accuracy.",1
82,Can KNN be used for regression tasks?,"Yes, KNN can be used for regression by averaging the target values of its nearest neighbors to predict continuous outcomes.",1
83,What is semi-supervised learning?,A semi-supervised learning happens when a small amount of labeled data is introduced to an algorithm. The algorithm then studies that data and uses it on unlabeled data. Semi-supervised learning combines the efficiency of unsupervised learning and the performance of supervised learning.,1
84,What are some tools used to discover outliers?,Some popular tools to discover outliers include Z-score Scatter plot and Box plot.,1
85,Explain the difference between Principal Component Analysis (PCA) and t-SNE.,"PCA is a linear dimensionality reduction method, while t-SNE is non-linear, preserving local structures and often used for visualization.",1
86,What is the role of cross-validation?,Cross-validation is a technique which is used to increase the performance of a machine learning algorithm where the machine is fed sampled data out of the same data for a few times.,1
87,What are some common operations performed using Pandas?,"Pandas supports operations like data indexing, filtering, grouping, reshaping, time series analysis, and integration with other libraries for data visualization and analysis.",1
88,What is dimension reduction in ML?,Dimension reduction is the reduction of variables put under consideration. It lessens the number of features in a dataset while saving as much information as possible.,1
89,What are some advantages of Decision Trees?,"They're easy to understand, interpret, and visualize; handle both numerical and categorical data; and require little data preprocessing.",1
90,"What is NumPy, and why is it essential in Machine Learning?","NumPy is a Python library for numerical computations, providing support for arrays and matrices, crucial for handling data in ML tasks efficiently.",1
91,What are ensemble models?,An ensemble is a group of models that are used together for prediction both in classification and regression classes. Ensemble learning helps improve ML results because it combines several models.,1
92,What is the Bellman Equation in Reinforcement Learning?,The Bellman Equation is a fundamental concept in Reinforcement Learning. It represents a recursive relationship between the value of a state or state-action pair and the expected cumulative reward. The equation plays a key role in dynamic programming and reinforcement learning algorithms like Q-Learning.,1
93,What are the primary data structures in Pandas?,Pandas mainly deals with Series (1D labeled arrays) and DataFrames (2D labeled data structures resembling tables) for handling data efficiently.,1
94,How to handle missing data in Machine Learning models?,"Missing data can be handled by imputation techniques like mean, median, or using advanced methods like K-nearest neighbors or predictive models.",1
95,Linear regression is a method of finding the relationship between which variables?,Independent and Dependent Variables,1
96,What are the hyperparameters of a logistic regression model?,Classifier penalty classifier solver and classifier C are the trainable hyperparameters of a Logistic Regression Classifier. These can be specified exclusively with values in Grid Search to hyper tune a Logistic Classifier.,1
97,What are the automated methods for Feature Engineering?,"Automated methods like genetic algorithms, feature importance from tree-based models, or dimensionality reduction techniques can assist in feature selection and engineering.",1
98,"What is Scikit-Learn, and why is it popular in Machine Learning?","Scikit-Learn is a machine learning library in Python known for its user-friendly interface, supporting various algorithms and tools for ML tasks.",1
99,What is Latent Semantic Indexing (LSI)?,"Latent semantic indexing is a mathematical technique used to improve the accuracy of the information retrieval process. The design of LSI algorithms allows machines to detect the hidden (latent) correlation between semantics (words). To enhance information understanding, machines generate various concepts that associate with the words of a sentence.The main principle behind LSI is that words carry a similar meaning when used in a similar context. Computational LSI models are slow in comparison to other models. However, they are good at contextual awareness which helps improve the analysis and understanding of a text or a document.",1
100,What's the significance of model evaluation in Machine Learning?,"Model evaluation assesses how well a trained model performs on unseen data, ensuring its reliability and effectiveness.",1
101,"What is Pandas, and why is it used in data analysis?","Pandas is a Python library providing high-performance, easy-to-use data structures and tools for data manipulation and analysis.",1
102,What are overfitting and underfitting?,Overfitting is a statistical model or machine learning algorithm that captures the data’s noise. Underfitting is a model or machine learning algorithm which does not fit the data well enough and occurs if the model or algorithm shows low variance but high bias.,1
103,What are the techniques used to find similarities in the recommendation system?,Pearson correlation and Cosine correlation are techniques used to find similarities in recommendation systems. ,1
104,"What is the role of ""exploration policies"" in Reinforcement Learning?","Exploration policies in Reinforcement Learning are strategies used by the agent to select actions that help discover and learn about the environment. These policies guide the agent to explore unknown regions of the state space, contributing to a more comprehensive understanding of the environment and better decision-making.",1
105,How do you handle outliers in the data?,To handle outliers we can cap at some threshold use transformations to reduce skewness of the data and remove outliers if they are anomalies or errors.,1
106,What role does regularization play in Machine Learning?,Regularization techniques prevent overfitting by adding penalties or constraints to the model's parameters during training.,1
107,How do Decision Trees handle overfitting?,"Techniques like pruning, setting minimum samples for a node, and limiting tree depth help prevent overfitting in Decision Trees.",1
108,"What is the role of ""experience replay"" in Reinforcement Learning?","Experience replay is a technique used in Reinforcement Learning to improve the stability and efficiency of learning. It involves storing and randomly sampling past experiences to break the temporal correlation between consecutive experiences, which can lead to better training of neural networks and more robust learning.",1
109,What’s the difference between probability and likelihood?,Probability is the measure of the likelihood that an event will occur that is what is the certainty that a specific event will occur? Where-as a likelihood function is a function of parameters within the parameter space that describes the probability of obtaining the observed data.,1
110,What impact does correlation have on PCA?,If data is correlated PCA does not work well. Because of the correlation of variables the effective variance of variables decreases. Hence correlated data when used for PCA does not work well.,1
111,What is Machine Learning (ML)?,Machine Learning is a subset of AI that enables systems to learn from data and improve without explicit programming,1
112,Why would you use the Kernel Trick?,Kernel trick allows us to operate in the original feature space without computing the coordinates of the data.,1
113,What are hyperparameters,A hyperparameter is a variable that is external to the model whose value cannot be estimated from the data. They are often used to estimate model parameters.,1
114,Differentiate between Linear Regression and Support Vector Machines (SVMs).,"Linear Regression predicts continuous outcomes by fitting a line, while SVMs classify data by finding hyperplanes to separate classes in a high-dimensional space.",1
115,What’s the difference between a generative and discriminative model?,A generative model will learn categories of data while a discriminative model will simply learn the distinction between different categories of data. Discriminative models will generally outperform generative models on classification tasks.,1
116,What is the main difference between Decision Trees and Random Forests?,"Decision Trees are single trees that make decisions based on features, while Random Forests are ensembles of multiple trees, averaging their predictions to reduce overfitting.",1
117,What distance metrics are commonly used in KNN?,"Euclidean distance, Manhattan distance, Minkowski distance, and cosine similarity are commonly used distance metrics in KNN for measuring similarity between data points.",1
118,How to deal with very few data samples? Is it possible to make a model out of it?,If very few data samples are there we can make use of oversampling to produce new data points. In this way we can have new data points.,1
119,How does Scikit-Learn simplify the machine learning process?,"Scikit-Learn provides a consistent API, making it easy to implement and experiment with various algorithms for tasks like classification, regression, and clustering.",1
120,What are the assumptions made in Linear Regression?,"Linear Regression assumes linearity, independence of errors, homoscedasticity (constant variance), and normality of residuals among other assumptions.",1
121,"What is the ""curse of dimensionality"" in Reinforcement Learning?","The ""curse of dimensionality"" in Reinforcement Learning refers to the exponential increase in the number of states or state-action pairs as the dimensionality of the state space grows. This can make problems computationally infeasible to solve due to the vast number of possibilities to consider.",1
122,What are Eigenvalues?,Eigenvalues are the magnitude of the linear transformation features along each direction of an Eigenvector.,1
123,How would you define the number of clusters in a clustering algorithm?,The number of clusters can be determined by finding the silhouette score. Often we aim to get some inferences from data using clustering techniques so that we can have a broader picture of a number of classes being represented by the data.,1
124,What are some common operations performed using NumPy?,"NumPy enables operations like array creation, manipulation, mathematical computations, linear algebra, and random number generation.",1
125,How does NumPy enhance computational performance in Python?,"NumPy's optimized arrays and functions significantly improve computational efficiency, making numerical operations faster than using native Python lists.",1
126,Which performance metric is better R2 or adjusted R2?,Adjusted R2 because the performance of predictors impacts it. R2 is independent of predictors and shows performance improvement through increase if the number of predictors is increased.,1
127,How would you handle an imbalanced dataset?,"Sampling Techniques can help with an imbalanced dataset. There are two ways to perform sampling Under Sample or Over Sampling.""",1
128,How does K-Means clustering determine the number of clusters?,"The number of clusters in K-Means is pre-defined by the user, often determined through techniques like the elbow method or domain knowledge.",1
129,Explain the concept of coefficients in Linear Regression.,"Coefficients represent the slope of the line fitting the data in Linear Regression, indicating the impact of input features on the predicted outcome.",1
130,Which metrics can be used to measure correlation of categorical data?,Chi square test can be used for doing so. It gives the measure of correlation between categorical predictors.,1
131,What is the primary difference between K-Nearest Neighbors (KNN) and Decision Trees?,"KNN is instance-based and stores all training data, while Decision Trees create a tree-like structure based on feature splits to make predictions.",1
132,Explain the trade-off between exploration and exploitation in Reinforcement Learning.,"The exploration-exploitation trade-off is a crucial aspect of Reinforcement Learning. Exploration involves trying out new actions to learn more about the environment, while exploitation entails choosing actions that are known to provide high rewards based on existing knowledge. Striking the right balance between exploration and exploitation is essential for effective learning.",1
133,What are Eigenvectors?,Eigenvectors are directional entities along which linear transformation features like compression flip etc. can be applied.,1
134,How does the choice of 'k' impact the KNN algorithm?,"A smaller 'k' value leads to more complex models prone to noise, while a larger 'k' value results in smoother decision boundaries but might overlook local patterns.",1
135,How does the SVM algorithm deal with self-learning?,SVM has a learning rate and expansion rate which takes care of this. The learning rate compensates or penalises the hyperplanes for making all the wrong moves and expansion rate deals with finding the maximum separation area between classes.,1
136,How does Feature Engineering impact Machine Learning (ML)?,Feature Engineering involves selecting and transforming input variables to enhance model performance and accuracy.,1
137,What is the difference between on-policy and off-policy methods in Reinforcement Learning?,"In Reinforcement Learning, on-policy methods use the same policy for both exploration and learning, while off-policy methods use different policies for exploration and learning. On-policy methods are often more stable but can be slower in learning, whereas off-policy methods allow for more efficient exploration and learning.",1
138,How does Logistic Regression differ from Linear Regression?,"Logistic Regression predicts categorical outcomes using a logistic/sigmoid function, while Linear Regression predicts continuous outcomes with a linear equation.",1
139,What is the difference between stochastic gradient descent (SGD) and gradient descent (GD)?,In Gradient Descend all training samples are evaluated for each set of parameters. While in Stochastic Gradient Descent only one training sample is evaluated for the set of parameters identified.,1
140,Which kind of recommendation system is used by amazon to recommend similar items?,Amazon uses a collaborative filtering algorithm for the recommendation of similar items. It’s a user to user similarity based mapping of user likeness and susceptibility to buy.,1
141,What is a random variable?,A Random Variable is a set of possible values from a random experiment. Example: Tossing a coin: we could get Heads or Tails. Rolling of a dice: we get 6 values,1
142,What do you mean by AUC curve?,AUC (area under curve). Higher the area under the curve better the prediction power of the model.,1
143,How does a Linear Classifier classify data points?,It separates classes by creating a linear equation based on input features and assigns data points to classes based on which side of the decision boundary they fall on.,1
144,Can Ensemble Methods be applied to any machine learning algorithm?,"Yes, Ensemble Methods are flexible and can be applied to a wide range of algorithms, improving their performance by harnessing diverse models' strengths.",1
145,How does Pandas handle missing data in datasets?,"Pandas offers methods like dropna(), fillna(), and interpolation techniques to handle missing data or replace it with suitable values.",1
146,What's the difference between supervised and unsupervised learning?,"Supervised learning uses labeled data for training, while unsupervised learning deals with unlabeled data to find hidden patterns.",1
147,"What is the concept of ""policy gradient methods"" in Reinforcement Learning?","Policy gradient methods in Reinforcement Learning are a class of algorithms that directly optimize the policy to maximize expected rewards. They learn the policy by estimating the gradient of the expected return with respect to the policy parameters, enabling the agent to learn both stochastic and deterministic policies.",1
148,What are the key components of a Reinforcement Learning problem?,"In a Reinforcement Learning problem, there are three primary components: the agent, the environment, and the reward signal. The agent is responsible for making decisions, the environment represents the context in which the agent operates, and the reward signal quantifies the desirability of the agent's actions.",1
149,Explain the working principle of the K-Means++ initialization method in K-Means clustering.,"K-Means++ initializes cluster centroids by choosing the first centroid randomly and subsequent centroids based on distance, promoting better convergence.",1
150,Which sampling technique is most suitable when working with time-series data?,We can use a custom iterative sampling such that we continuously add samples to the train set. We only should keep in mind that the sample used for validation should be added to the next train sets and a new sample is used for validation.,1
151,What is a false positive?,It is a test result which wrongly indicates that a particular condition or attribute is present. Example – “Stress testing a routine diagnostic tool used in detecting heart disease results in a significant number of false positives in women”,1
152,Compare Gradient Boosting and AdaBoost,"Both are boosting algorithms, but Gradient Boosting builds trees sequentially, optimizing errors, while AdaBoost adjusts weights for misclassified samples in each iteration.",1
153,How does Deep Learning differ from traditional Machine Learning?,"Deep Learning involves neural networks with multiple layers, enabling it to automatically learn hierarchical representations, unlike traditional ML.",1
154,How do AI-ML avatars enhance user experiences?,"They provide personalized responses, quick access to information, and engage users through natural language interactions, improving overall user experience.",1
155,What is a Decision Tree in Machine Learning?,A Decision Tree is a hierarchical tree-like structure used for classification and regression by sequentially splitting data based on features to make decisions.,1
156,Which algorithms can be used for important variable selection?,Random Forest Xgboost and plot variable importance charts can be used for variable selection.,1
157,Is a high variance in data good or bad?,Higher variance directly means that the data spread is big and the feature has a variety of data. Usually high variance in a feature is seen as not so good quality.,1
158,What are the key steps in the Machine Learning pipeline?,"Data collection, data preprocessing, feature engineering, model training, evaluation, and deployment constitute the ML pipeline.",1
159,How does SVM handle non-linearly separable data?,"SVM uses kernel functions (like polynomial, radial basis function) to map input data into higher-dimensional spaces where classes become separable by hyperplanes.",1
160,How do bag-of-words and TF-IDF differ in representing text data? ,"Bag-of-words focuses on word presence, while TF-IDF considers both word frequency and rarity across documents",2
161,"What is Word2Vec, and how does it represent words in a vector space?","Word2Vec is a technique that represents words as vectors, capturing semantic relationships by placing similar words closer together in the vector space.",2
162,What are some key features involved in human perception? ,"Human perception involves features like shape, color, texture, motion, depth, and context, which are crucial in interpreting and understanding the environment.",2
163,What NLTK modules are commonly used in web scraping projects? ,"NLTK's modules for tokenization, stopwords removal, and stemming (like Porter Stemmer or Lancaster Stemmer) are frequently applied in web scraping.",2
164,What are some common performance metrics used to evaluate text classification models? ,"Accuracy, precision, recall, F1 score, and AUC are widely used metrics for evaluating the performance of text classification models.",2
165,Explain the difference between a bar chart and a histogram.,"A bar chart represents categorical data with distinct categories, while a histogram displays the distribution of continuous data by dividing it into bins.",2
166,How can word embeddings capture the relationships between words that are never used together in a text corpus? ,"By analyzing the context in which words appear, word embedding models can infer semantic relationships based on cooccurrence patterns.",2
167,What is a perceptron in neural network terminology?,"A perceptron is the simplest form of a neural network unit, taking multiple binary inputs, applying weights, and producing a binary output.",2
168,What are Eigen values and Eigen vectors in the context of PCA? ,"Eigen values represent the variance captured by each principal component, and Eigen vectors represent the directions of these components. Eigen faces are a specific application of PCA in facial recognition.",2
169,How can regularization techniques help prevent overfitting? ,"Regularization methods, like L1 or L2 regularization, penalize complex models, preventing them from learning overly specific patterns from the training data.",2
170,What is the primary goal of unsupervised learning? ,Unsupervised learning aims to find hidden patterns or intrinsic structures in unlabeled data without explicit supervision or labeled outcomes.,2
171,What is the difference between hierarchical and non-hierarchical clustering?,"Hierarchical clustering builds a tree of clusters, while non-hierarchical clustering assigns data points to clusters directly. Hierarchical clustering can be agglomerative or divisive.",2
172,"Explain the concept of a perceptron in neural networks, and how is gradient descent used in training them?","A perceptron is the simplest form of a neural network, with one or more inputs, weights, a summation function, and an activation function.",2
173,What role do hidden layers play in a Multi-Layer Perceptron? ,"Hidden layers transform inputs into higher-level representations, allowing MLPs to learn complex relationships in the data.",2
174,How do word embeddings capture semantic relationships between words? ,Words with similar meanings are represented by vectors close together in the embedding space.,2
175,How is the training process of an MLP conducted using backpropagation and gradient descent?,"During training, backpropagation computes gradients of the error with respect to the weights, and gradient descent adjusts weights to minimize the error.",2
